name	type	source	detector	wavelength_nominal	units
S1-D1-760.0	NIRSCWAMPLITUDE	S1	D1	760.0	AU
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU
S1-D9-760.0	NIRSCWAMPLITUDE	S1	D9	760.0	AU
S2-D1-760.0	NIRSCWAMPLITUDE	S2	D1	760.0	AU
S2-D2-760.0	NIRSCWAMPLITUDE	S2	D2	760.0	AU
S2-D10-760.0	NIRSCWAMPLITUDE	S2	D10	760.0	AU
S3-D3-760.0	NIRSCWAMPLITUDE	S3	D3	760.0	AU
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU
S3-D11-760.0	NIRSCWAMPLITUDE	S3	D11	760.0	AU
S4-D3-760.0	NIRSCWAMPLITUDE	S4	D3	760.0	AU
S4-D5-760.0	NIRSCWAMPLITUDE	S4	D5	760.0	AU
S4-D6-760.0	NIRSCWAMPLITUDE	S4	D6	760.0	AU
S4-D12-760.0	NIRSCWAMPLITUDE	S4	D12	760.0	AU
S5-D4-760.0	NIRSCWAMPLITUDE	S5	D4	760.0	AU
S5-D5-760.0	NIRSCWAMPLITUDE	S5	D5	760.0	AU
S5-D13-760.0	NIRSCWAMPLITUDE	S5	D13	760.0	AU
S6-D5-760.0	NIRSCWAMPLITUDE	S6	D5	760.0	AU
S6-D6-760.0	NIRSCWAMPLITUDE	S6	D6	760.0	AU
S6-D14-760.0	NIRSCWAMPLITUDE	S6	D14	760.0	AU
S7-D7-760.0	NIRSCWAMPLITUDE	S7	D7	760.0	AU
S7-D8-760.0	NIRSCWAMPLITUDE	S7	D8	760.0	AU
S7-D15-760.0	NIRSCWAMPLITUDE	S7	D15	760.0	AU
S8-D7-760.0	NIRSCWAMPLITUDE	S8	D7	760.0	AU
S8-D8-760.0	NIRSCWAMPLITUDE	S8	D8	760.0	AU
S8-D16-760.0	NIRSCWAMPLITUDE	S8	D16	760.0	AU
S1-D1-850.0	NIRSCWAMPLITUDE	S1	D1	850.0	AU
S1-D2-850.0	NIRSCWAMPLITUDE	S1	D2	850.0	AU
S1-D9-850.0	NIRSCWAMPLITUDE	S1	D9	850.0	AU
S2-D1-850.0	NIRSCWAMPLITUDE	S2	D1	850.0	AU
S2-D2-850.0	NIRSCWAMPLITUDE	S2	D2	850.0	AU
S2-D10-850.0	NIRSCWAMPLITUDE	S2	D10	850.0	AU
S3-D3-850.0	NIRSCWAMPLITUDE	S3	D3	850.0	AU
S3-D4-850.0	NIRSCWAMPLITUDE	S3	D4	850.0	AU
S3-D5-850.0	NIRSCWAMPLITUDE	S3	D5	850.0	AU
S3-D11-850.0	NIRSCWAMPLITUDE	S3	D11	850.0	AU
S4-D3-850.0	NIRSCWAMPLITUDE	S4	D3	850.0	AU
S4-D5-850.0	NIRSCWAMPLITUDE	S4	D5	850.0	AU
S4-D6-850.0	NIRSCWAMPLITUDE	S4	D6	850.0	AU
S4-D12-850.0	NIRSCWAMPLITUDE	S4	D12	850.0	AU
S5-D4-850.0	NIRSCWAMPLITUDE	S5	D4	850.0	AU
S5-D5-850.0	NIRSCWAMPLITUDE	S5	D5	850.0	AU
S5-D13-850.0	NIRSCWAMPLITUDE	S5	D13	850.0	AU
S6-D5-850.0	NIRSCWAMPLITUDE	S6	D5	850.0	AU
S6-D6-850.0	NIRSCWAMPLITUDE	S6	D6	850.0	AU
S6-D14-850.0	NIRSCWAMPLITUDE	S6	D14	850.0	AU
S7-D7-850.0	NIRSCWAMPLITUDE	S7	D7	850.0	AU
S7-D8-850.0	NIRSCWAMPLITUDE	S7	D8	850.0	AU
S7-D15-850.0	NIRSCWAMPLITUDE	S7	D15	850.0	AU
S8-D7-850.0	NIRSCWAMPLITUDE	S8	D7	850.0	AU
S8-D8-850.0	NIRSCWAMPLITUDE	S8	D8	850.0	AU
S8-D16-850.0	NIRSCWAMPLITUDE	S8	D16	850.0	AU
